rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
Base,,0,0.0,,,
8,16,12156928,2.928492,5.734871,1.998998,7.381656
16,32,24313856,3.591943,5.062729,2.014229,7.494949
64,128,97255424,3.222633,7.398932,2.203662,9.058123
